number;adress;;;;;;;;
8342291257;ВВБ Мордовия  430033 г. САРАНСК пр-кт 70 ЛЕТ ОКТЯБРЯ 86 ;Удален;;;;;;;Ростелеком
3412489512;"ЗУБ Удмуртия  Г.ИЖЕВСК, ул. Красная, 105 8618Ф-30/93 от 01.12.2017 Данные сотрудники напрямую общаются с кандидатами при приеме на работу (внешние и внутренние клиенты). 
В настоящий момент некоторые кандидаты не отвечают на телефонные звонки сотрудника Банка, т.к. идёт звонок с единого номера. В случае недозвона сотрудника, кандидат не может перезвонить для уточнения вопроса.  Банк и Клиент теряют время при повторных звонках. 
";Используется;;;;;;;Ростелеком
3412631429;"ЗУБ Удмуртия  Г.ИЖЕВСК, ул. Красная, 105 8618Ф-30/93 от 01.12.2017 Данные сотрудники напрямую общаются с кандидатами при приеме на работу (внешние и внутренние клиенты). 
В настоящий момент некоторые кандидаты не отвечают на телефонные звонки сотрудника Банка, т.к. идёт звонок с единого номера. В случае недозвона сотрудника, кандидат не может перезвонить для уточнения вопроса.  Банк и Клиент теряют время при повторных звонках. 
";Используется;;;;;;;Ростелеком
3422100530;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422102184;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422102446;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422102536;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422102566;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422102790;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422184606;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422184624;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422184640;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422184789;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422185320;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422189056;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422191048;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422191322;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422191756;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422199721;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
3422199876;ЗУБ Пермь  Пермь ул Монастырская , 4 ;Удален;;;;;;;Ростелеком
8314622332;ВВБ Нижегородский  603005 г. НИЖНИЙ НОВГОРОД ул. ОКТЯБРЬСКАЯ 35 ;Удален;;;;;;;Ростелеком
8314622333;ВВБ Нижегородский  603005 г. НИЖНИЙ НОВГОРОД ул. ОКТЯБРЬСКАЯ 35 ;Удален;;;;;;;Ростелеком
